2026-04-10 10:00:41,326 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 10:00:48,814 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:00:48,816 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:00:56,705 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 10:00:57,555 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:00:57,556 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:01:15,497 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 10:01:16,322 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:01:16,323 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:01:20,990 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 10:01:21,877 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:01:21,878 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:35:40,117 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 10:35:44,776 | INFO | sector_scanner | Continuous loop: full_scan every 180.0s, tick refresh every 5.0s (max_events=20)
2026-04-10 10:35:47,511 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 10:35:48,330 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 10:35:48,407 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=5 adjusted_scores=53 leader_groups=5
2026-04-10 10:35:53,819 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=7 adjusted_scores=53 leader_groups=5
2026-04-10 10:35:59,196 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=53 leader_groups=5
2026-04-10 10:36:04,573 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=10 adjusted_scores=53 leader_groups=5
2026-04-10 10:36:09,946 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=12 adjusted_scores=53 leader_groups=5
2026-04-10 10:36:14,725 | INFO | sector_scanner | Continuous loop stopped by user (KeyboardInterrupt).
2026-04-10 10:36:14,726 | INFO | sector_scanner | Done (loop). state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 15:27:09,561 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 15:27:32,017 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 15:27:35,992 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 15:27:35,992 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 15:27:42,380 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 15:27:49,833 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 15:27:50,588 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 15:27:50,589 | INFO | sector_scanner | Done. state_file=C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 15:59:23,741 | INFO | sector_scanner | Starting scanner mode=mock
2026-04-10 15:59:28,406 | INFO | sector_scanner | Continuous loop: full_scan every 180.0s, tick refresh every 5.0s (max_events=20)
2026-04-10 15:59:31,573 | INFO | sector_scanner.scanner_state | ScannerStateStore saved ScanResult to C:\_WORK2\Sauvignon\sector_scanner\output\scanner_state.json
2026-04-10 15:59:32,386 | INFO | sector_scanner | Score chart updated: C:\_WORK2\Sauvignon\sector_scanner\output\score_history.html
2026-04-10 15:59:32,474 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=2 adjusted_scores=41 leader_groups=3
2026-04-10 15:59:37,815 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=5 adjusted_scores=41 leader_groups=3
2026-04-10 15:59:43,130 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=6 adjusted_scores=41 leader_groups=3
2026-04-10 15:59:48,448 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=7 adjusted_scores=41 leader_groups=3
2026-04-10 15:59:53,774 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=7 adjusted_scores=41 leader_groups=3
2026-04-10 15:59:59,097 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=7 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:04,434 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:09,781 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:15,109 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:20,430 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:25,754 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:31,093 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:36,429 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:41,768 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:47,104 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:52,453 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:00:57,803 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:03,137 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:08,499 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:13,847 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:19,194 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:24,545 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:29,898 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:35,247 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:40,604 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:45,968 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:51,346 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:01:56,720 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:02:02,100 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:02:07,491 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:02:12,871 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:02:18,247 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
2026-04-10 16:02:23,684 | INFO | sector_scanner | refresh_realtime: events=5 buffer_symbols=9 adjusted_scores=41 leader_groups=3
