strategy_id,total_return,cagr,mdd,win_rate,profit_factor,avg_gain,avg_loss,avg_holding_days,params_json
disparity,-0.4691649656804686,-0.5836339358852827,-0.5091050146921825,0.1509433962264151,0.26644307937919737,1053956.0779533023,-703227.0076238632,13.60377358490566,"{""buy_below"": -0.04, ""ma"": 60, ""sell_above"": -0.01}"
disparity,-0.4767621800177728,-0.5918555927813238,-0.5189794321188868,0.16666666666666666,0.2643825215414422,942328.0541993425,-712852.0060291744,13.351851851851851,"{""buy_below"": -0.04, ""ma"": 60, ""sell_above"": -0.02}"
disparity,-0.51542109645965,-0.6329758521671391,-0.5610536489662549,0.3712121212121212,0.5304929829283944,585362.7234051145,-651423.477440494,5.9393939393939394,"{""buy_below"": -0.04, ""ma"": 10, ""sell_above"": 0.0}"
disparity,-0.5318883746459011,-0.6501185321098368,-0.5694944158505775,0.3464566929133858,0.523685239729812,655450.6948600777,-663505.1207827595,6.0236220472440944,"{""buy_below"": -0.06, ""ma"": 10, ""sell_above"": 0.0}"
disparity,-0.5433014192032585,-0.6618651749749327,-0.6126748738724916,0.36423841059602646,0.521719850419538,531126.5457024612,-583246.4490230551,5.178807947019868,"{""buy_below"": -0.04, ""ma"": 10, ""sell_above"": -0.02}"
disparity,-0.5550366638388371,-0.6738265731828832,-0.6226371253459255,0.3958333333333333,0.5076032835230317,496137.39076391107,-640373.1859726136,5.263888888888889,"{""buy_below"": -0.06, ""ma"": 10, ""sell_above"": -0.01}"
disparity,-0.5695588119729142,-0.6884616956735937,-0.6052978240224166,0.3624161073825503,0.5026432634476112,526563.7050915657,-595471.8132951326,5.100671140939597,"{""buy_below"": -0.06, ""ma"": 10, ""sell_above"": -0.02}"
disparity,-0.5739021437672472,-0.692802438228111,-0.5976069864406146,0.25806451612903225,0.42071038010031525,847860.0175125878,-700975.8877543568,8.10752688172043,"{""buy_below"": -0.08, ""ma"": 20, ""sell_above"": -0.01}"
breakout_fail,-0.5812191630850125,-0.7000767404967428,-0.8043660433412045,0.358974358974359,0.7026604207375331,951385.9172271906,-758227.0153881861,3.7743589743589743,"{""entry_ma"": 20, ""lookback"": 60}"
disparity,-0.5989544838732396,-0.717505876916049,-0.6141205309484963,0.40145985401459855,0.4798307505352702,497470.647556089,-695389.6481273952,4.9489051094890515,"{""buy_below"": -0.08, ""ma"": 10, ""sell_above"": -0.02}"
disparity,-0.6106277106549549,-0.7288180846459906,-0.632633136924553,0.39072847682119205,0.4931618578533261,496878.4358034201,-646137.3606807402,5.185430463576159,"{""buy_below"": -0.04, ""ma"": 10, ""sell_above"": -0.01}"
breakout_fail,-0.6155252193546272,-0.7335257512658719,-0.6735126379437892,0.38349514563106796,0.7345287705811147,1050854.3084916205,-889932.501928929,3.6941747572815533,"{""entry_ma"": 10, ""lookback"": 60}"
momentum,-0.6477960773506691,-0.7639633404442013,-0.8710512588159728,0.3319838056680162,0.7643830587370388,1220416.4904012622,-793463.4428105328,3.182186234817814,"{""lookback"": 10}"
breakout_fail,-0.6570469523491168,-0.7724972774111116,-0.8750350738403256,0.35909090909090907,0.7233203102891876,1058459.6597959371,-819882.524095775,3.3545454545454545,"{""entry_ma"": 20, ""lookback"": 20}"
disparity,-0.6599873794010562,-0.7751914955100224,-0.6840330028194832,0.3805970149253731,0.3929771029720765,417385.4675932043,-652622.6777702125,5.164179104477612,"{""buy_below"": -0.08, ""ma"": 10, ""sell_above"": -0.01}"
disparity,-0.6789101943504006,-0.7923143100509089,-0.6983291234884721,0.34710743801652894,0.3582140587101418,450022.104172638,-667903.0375749831,5.7190082644628095,"{""buy_below"": -0.08, ""ma"": 10, ""sell_above"": 0.0}"
